nome,dt_nasc,nacionalidade,gênero,altura
David Byrne,14/05/1952,escocesa,masculino,1.83
John Lydon,31/01/1956,britânica,masculino,1.72
Bernard Sumner,04/01/1956,britânica,masculino,1.73
Ian Curtis,15/07/1956,britânica,masculino,1.85
Siouxsie Sioux,27/05/1957,britânica,feminino,1.73
Robert Smith,21/04/1959,britânica,masculino,1.78
Dave Gahan,09/05/1962,britânica,masculino,1.78
Morrissey,22/05/1959,britânica,masculino,1.80
Polly Jean Harvey,09/10/1969,britânica,feminino,1.62
Thom Yorke,07/10/1968,britânica,masculino,1.66
