nome,dt_nasc,nacionalidade,gênero,altura
Jimmy London,05/06/1975,brasileira,masculino,1.90
Paulão Carvalho,15/05/1947,portuguesa,masculino,1.85
Wander Wildner,20/09/1959,brasileira,masculino,1.78
Sérgio Britto,18/09/1959,brasileira,masculino,1.76
Tenzin Chöpel,12/06/1957,brasileira,masculino,1.73
Branco Mello,16/03/1962,brasileira,masculino,1.80
Gildo Constantino,31/12/1964,brasileira,masculino,1.75
José Máo,26/03/1963,brasileira,masculino,1.70
Redson Pozzi,15/07/1962,brasileira,masculino,1.74
Dave Grohl,14/01/1969,norte americana,masculino,1.83
